date	New York	San Francisco
20111001	63.4	62.7
20111002	58.0	59.9
20111003	53.3	59.1
20111004	55.7	58.8
20111005	64.2	58.7
20111006	58.8	57.0
20111007	57.9	56.7
20111008	61.8	56.8
20111009	69.3	56.7
20111010	71.2	60.1
20111011	68.7	61.1
20111012	61.8	61.5
20111013	63.0	64.3
20111014	66.9	67.1
20111015	61.7	64.6
20111016	61.8	61.6
20111017	62.8	61.1
20111018	60.8	59.2
20111019	62.1	58.9
20111020	65.1	57.2
20111021	55.6	56.4
20111022	54.4	60.7
20111023	54.4	65.1
20111024	54.8	60.9
20111025	57.9	56.1
20111026	54.6	54.6
20111027	54.4	56.1
20111028	42.5	58.1
20111029	40.9	57.5
20111030	38.6	57.7
20111031	44.2	55.1
20111101	49.6	57.9
20111102	47.2	64.6
20111103	50.1	56.2
20111104	50.1	50.5
20111105	43.5	51.3
20111106	43.8	52.6
20111107	48.9	51.4
20111108	55.5	50.6
20111109	53.7	54.6
20111110	57.7	55.6
20111111	48.5	53.9
20111112	46.8	54.0
20111113	51.1	53.8
20111114	56.8	53.5
20111115	59.7	53.4
20111116	56.5	52.2
20111117	49.6	52.7
20111118	41.5	53.1
20111119	44.3	49.0
20111120	54.0	50.4
20111121	54.1	51.1
20111122	49.4	52.3
20111123	50.0	54.6
20111124	44.0	55.1
20111125	50.3	51.5
20111126	52.1	53.6
20111127	49.6	52.3
20111128	57.2	51.0
20111129	59.1	49.5
20111130	50.6	49.8
20111201	44.3	60.4
20111202	43.9	62.2
20111203	42.1	58.3
20111204	43.9	52.7
20111205	50.2	51.5
20111206	54.2	49.9
20111207	54.6	48.6
20111208	43.4	46.4
20111209	42.2	49.8
20111210	45.0	52.1
20111211	33.8	48.8
20111212	36.8	47.4
20111213	38.6	47.2
20111214	41.9	46.1
20111215	49.6	48.8
20111216	50.2	47.9
20111217	40.6	49.8
20111218	29.1	49.1
20111219	33.7	48.3
20111220	45.8	49.3
20111221	47.4	48.4
20111222	54.4	53.3
20111223	47.8	47.5
20111224	34.9	47.9
20111225	35.9	48.9
20111226	43.6	45.9
20111227	42.9	47.2
20111228	46.2	48.9
20111229	30.8	50.9
20111230	40.8	52.9
20111231	49.8	50.1
20120101	46.3	53.9
20120102	43.2	53.1
20120103	30.3	49.7
20120104	19.2	52.7
20120105	32.1	52.6
20120106	41.2	49.0
20120107	47.0	51.0
20120108	46.0	56.8
20120109	34.7	52.3
20120110	39.4	51.6
20120111	40.4	49.8
20120112	45.4	51.9
20120113	40.7	53.7
20120114	30.4	52.9
20120115	23.9	49.7
20120116	22.6	45.3
20120117	39.8	43.6
20120118	43.2	45.0
20120119	26.3	47.3
20120120	32.8	51.4
20120121	27.4	53.7
20120122	25.0	48.3
20120123	39.4	52.9
20120124	48.7	49.1
20120125	43.0	52.1
20120126	37.1	53.6
20120127	48.2	50.4
20120128	43.7	50.3
